gutenberg id,title,authors
10000,The Magna Carta,frozenset({'Anonymous'})
10001,Apocolocyntosis,"frozenset({'Seneca, Lucius Annaeus'})"
10002,The House on the Borderland,"frozenset({'Hodgson, William Hope'})"
10003,"My First Years As A Frenchwoman, 1876-1879","frozenset({'Waddington, Mary King'})"
10004,The Warriors,"frozenset({'Lindsay, Anna Robertson Brown'})"
10005,A Voyage to the Moon,"frozenset({'Tucker, George'})"
10006,La Fiammetta,"frozenset({'Boccaccio, Giovanni'})"
10008,The Mystery,"frozenset({'Adams, Samuel Hopkins', 'White, Stewart Edward'})"
10009,Wild Northern Scenes,"frozenset({'Hammond, S. H. (Samuel H.)'})"
10010,The Eulogies of Howard,"frozenset({'Hayley, William'})"
10011,365 Foreign Dishes,frozenset({'Unknown'})
10012,The Mountains of California,"frozenset({'Muir, John'})"
10013,"Punchinello, Vol. 1, No. 9, May 28, 1870",frozenset({'Various'})
10014,"Punchinello, Vol. 1, No. 18, July 30, 1870",frozenset({'Various'})
10015,"Punchinello, Vol. 1, No. 19, August 6, 1870",frozenset({'Various'})
10016,"Punchinello Vol. 1, No. 21, August 20, 1870",frozenset({'Various'})
10017,"Punchinello, Vol. 1, No. 23,  September 3, 1870",frozenset({'Various'})
10018,"Punchinello, Vol. 1, No. 5,  April 30, 1870",frozenset({'Various'})
10019,"Punchinello, Vol. 1, No. 22, August 27, 1870",frozenset({'Various'})
1001,"Divine Comedy, Longfellow's Translation, Hell",frozenset({'Dante Alighieri'})
10020,"The Strand Magazine: Volume VII, Issue 37. January, 1894.",frozenset({'Various'})
10021,Tenterhooks,"frozenset({'Leverson, Ada'})"
10022,White Queen of the Cannibals: The Story of Mary Slessor,"frozenset({'Bueltmann, A. J.'})"
10023,There's Pippins And Cheese To Come,"frozenset({'Brooks, Charles S. (Charles Stephen)'})"
10024,Beneath the Banner,"frozenset({'Cross, F. J. (Frederick J.)'})"
10025,Gaslight Sonatas,"frozenset({'Hurst, Fannie'})"
10026,"The Mirror of Literature, Amusement, and Instruction, Vol. 10,",frozenset({'Various'})
10027,The Triple Alliance,"frozenset({'Avery, Harold'})"
10028,Spalding's Official Baseball Guide - 1913,frozenset()
10029,The Hunt Ball Mystery,"frozenset({'Magnay, William, Sir'})"
10030,The Life of Hon. William F. Cody,frozenset({'Buffalo Bill'})
10031,Edgar Allan Poe's Complete Poetical Works,"frozenset({'Poe, Edgar Allan'})"
10032,"Punchinello, Vol. 1, No. 24, September 10, 1870",frozenset({'Various'})
10033,"Punchinello, Vol. 1, No. 25, September 17, 1870",frozenset({'Various'})
